"10467: Fødte, etter statistikkvariabel, fornavn og år"

"statistikkvariabel";"fornavn";"1950";"1955";"1960";"1965";"1970";"1975";"1980";"1985";"1990";"1995";"2000";"2005";"2010";"2015";"2020"
"Andel av fødte (prosent)";"Aagot";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Aase";0.241;0.162;0.124;0.095;0.058;0.034;0.017;0.036;0.015;0.026;0.021;.;0.015;.;.
"Andel av fødte (prosent)";"Aashild";0.046;0.016;0.015;0.014;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Aasta";.;.;.;.;.;.;.;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Abigail";.;.;.;.;.;.;.;.;0.010;0.012;0.015;.;0.030;0.040;0.042
"Andel av fødte (prosent)";"Ada";0.043;0.044;.;0.035;0.016;0.014;0.011;0.039;0.026;0.084;0.113;0.237;0.291;0.418;0.910
"Andel av fødte (prosent)";"Adele";.;.;.;.;0.011;0.011;.;.;0.018;0.014;0.034;0.142;0.143;0.145;0.076
"Andel av fødte (prosent)";"Adelen";.;.;.;.;.;.;.;.;.;.;.;.;0.027;0.161;0.095
"Andel av fødte (prosent)";"Adelina";.;.;.;.;.;.;.;.;0.023;0.014;.;.;.;0.043;0.038
"Andel av fødte (prosent)";"Adriana";.;.;.;0.016;0.018;0.031;0.040;0.050;0.018;0.032;0.018;0.022;0.070;0.056;0.027
"Andel av fødte (prosent)";"Agata";.;.;.;0.016;0.018;0.025;0.063;0.103;0.054;0.023;0.012;.;.;.;.
"Andel av fødte (prosent)";"Agathe";.;.;.;.;.;.;0.011;0.011;.;0.017;0.018;0.025;0.039;0.023;0.019
"Andel av fødte (prosent)";"Agne";.;.;.;.;.;.;0.020;0.033;0.051;0.020;.;.;.;.;.
"Andel av fødte (prosent)";"Agnes";0.138;0.081;0.057;0.057;0.032;0.031;0.046;0.020;0.041;0.063;0.095;0.187;0.228;0.319;0.510
"Andel av fødte (prosent)";"Agnete";.;0.012;.;0.019;0.018;0.042;0.043;0.033;0.028;0.020;0.021;0.019;.;0.013;.
"Andel av fødte (prosent)";"Agnethe";0.013;.;.;0.014;0.016;0.025;0.037;0.025;0.031;0.026;.;.;0.012;0.020;0.015
"Andel av fødte (prosent)";"Agnieszka";.;.;.;.;0.066;0.191;0.228;0.192;0.123;0.043;.;.;.;.;.
"Andel av fødte (prosent)";"Aida";.;0.022;.;0.016;0.024;0.031;0.029;0.050;0.031;0.032;0.028;0.038;0.049;0.046;0.023
"Andel av fødte (prosent)";"Aileen";.;.;.;.;0.011;0.020;0.020;.;0.015;0.017;.;0.016;0.018;0.016;.
"Andel av fødte (prosent)";"Ailin";.;.;.;.;0.016;0.023;0.026;0.017;0.041;0.014;0.034;0.047;0.030;0.023;0.030
"Andel av fødte (prosent)";"Aina";0.079;0.115;0.166;0.281;0.292;0.439;0.234;0.217;0.159;0.127;0.073;0.038;0.024;0.049;0.030
"Andel av fødte (prosent)";"Aisha";.;.;.;0.011;.;.;0.020;0.047;0.038;0.049;0.067;0.098;0.103;0.099;0.091
"Andel av fødte (prosent)";"Alba";.;.;.;.;.;.;.;.;0.015;.;0.021;0.025;0.049;0.082;0.122
"Andel av fødte (prosent)";"Aleksandra";.;.;.;0.014;0.021;0.042;0.086;0.137;0.154;0.121;0.086;0.120;0.082;0.079;0.050
"Andel av fødte (prosent)";"Alette";.;.;.;.;.;0.011;0.011;.;0.010;.;0.028;0.022;0.024;0.023;0.030
"Andel av fødte (prosent)";"Alexandra";.;.;.;0.025;0.021;0.045;0.060;0.089;0.156;0.141;0.220;0.291;0.240;0.204;0.129
"Andel av fødte (prosent)";"Alfhild";0.066;0.044;0.021;0.014;.;.;0.011;.;.;.;.;.;.;.;.
"Andel av fødte (prosent)";"Alice";0.036;0.053;0.060;0.035;0.055;0.051;0.074;0.042;0.069;0.086;0.076;0.051;0.082;0.165;0.072
"Andel av fødte (prosent)";"Alicia";.;0.019;.;.;.;0.014;.;0.014;0.015;0.017;.;0.019;0.058;0.076;0.030
"Andel av fødte (prosent)";"Alicja";.;0.012;.;0.014;.;0.025;0.017;0.036;0.023;0.026;.;0.032;0.033;0.040;0.027
"Andel av fødte (prosent)";"Alida";.;.;.;.;.;.;.;.;.;0.017;0.049;0.085;0.131;0.158;0.107
"Andel av fødte (prosent)";"Alina";.;.;0.012;0.016;0.018;0.025;0.063;0.056;0.067;0.049;0.049;0.076;0.073;0.467;0.156
