M,Michael,2.1821
F,Jessica,1.6477
M,Christopher,1.7075
F,Ashley,1.5534
M,Matthew,1.6510
F,Emily,1.2390
M,Joshua,1.5393
F,Samantha,1.1709
M,Tyler,1.4954
F,Sarah,1.1436
M,Brandon,1.4469
F,Taylor,1.0636
M,Jacob,1.4432
F,Brittany,0.9697
M,Daniel,1.3768
F,Amanda,0.9603
M,Nicholas,1.3621
F,Elizabeth,0.8611
M,Andrew,1.2762
F,Megan,0.8506
M,Joseph,1.2625
F,Nicole,0.8214
M,Zachary,1.2332
F,Kayla,0.8149
M,David,1.2202
F,Rachel,0.7946
M,James,1.2154
F,Lauren,0.7777
M,John,1.1864
F,Stephanie,0.7566
M,Ryan,1.1802
F,Hannah,0.7436
M,Austin,1.1378
F,Jennifer,0.7183
M,Anthony,1.0598
F,Alexis,0.6690
M,William,1.0544
F,Victoria,0.6511
M,Justin,1.0274
F,Danielle,0.6386
M,Robert,1.0086
F,Amber,0.6331
M,Alexander,0.9862
F,Courtney,0.6166
M,Jonathan,0.9353
F,Jasmine,0.6009
M,Kyle,0.9025
F,Rebecca,0.5787
M,Cody,0.8631
F,Morgan,0.5466
M,Kevin,0.8493
F,Alyssa,0.5439
M,Thomas,0.7314
F,Brianna,0.5395
M,Aaron,0.7058
F,Alexandra,0.5246
M,Jordan,0.6948
F,Kelsey,0.5002
M,Eric,0.6530
F,Katherine,0.4918
M,Benjamin,0.6276
F,Melissa,0.4513
M,Dylan,0.6147
F,Kimberly,0.4487
M,Samuel,0.5959
F,Michelle,0.4431
M,Steven,0.5931
F,Allison,0.4182
M,Christian,0.5880
F,Tiffany,0.4154
M,Jose,0.5754
F,Haley,0.4004
M,Brian,0.5713
F,Mary,0.3977
M,Adam,0.5406
F,Chelsea,0.3959
M,Timothy,0.5282
F,Christina,0.3934
M,Nathan,0.5094
F,Shelby,0.3871
M,Richard,0.4667
F,Anna,0.3861
M,Patrick,0.4579
F,Abigail,0.3714
M,Charles,0.4423
F,Sara,0.3703
M,Sean,0.4336
F,Heather,0.3609
M,Jesse,0.4260
F,Erin,0.3544
M,Jason,0.4194
F,Laura,0.3519
M,Jeremy,0.4037
F,Maria,0.3464
M,Mark,0.3673
F,Kaitlyn,0.3430
M,Stephen,0.3669
F,Andrea,0.3324
M,Alex,0.3552
F,Olivia,0.3300
M,Juan,0.3536
F,Madison,0.3213
M,Cameron,0.3355
F,Jordan,0.3210
M,Travis,0.3337
F,Marissa,0.3204
M,Taylor,0.3250
F,Brooke,0.3064
M,Jeffrey,0.3202
F,Kristen,0.3012
M,Dustin,0.3169
F,Natalie,0.2996
M,Luis,0.3121
F,Erica,0.2914
M,Trevor,0.3120
F,Katelyn,0.2909
M,Connor,0.3099
F,Vanessa,0.2848
M,Caleb,0.3021
F,Shannon,0.2825
M,Devin,0.2975
F,Miranda,0.2799
M,Evan,0.2891
F,Kelly,0.2793
M,Jared,0.2883
F,Paige,0.2672
M,Paul,0.2844
F,Crystal,0.2667
M,Kenneth,0.2786
F,Jacqueline,0.2660
M,Bryan,0.2748
F,Cassandra,0.2596
M,Hunter,0.2740
F,Gabrielle,0.2587
M,Gabriel,0.2716
F,Briana,0.2566
M,Dakota,0.2716
F,Lindsey,0.2559
M,Logan,0.2676
F,Katie,0.2554
M,Mitchell,0.2635
F,Sierra,0.2489
M,Carlos,0.2614
F,Julia,0.2484
M,Corey,0.2590
F,Alexandria,0.2483
M,Ian,0.2585
F,Emma,0.2445
M,Marcus,0.2579
F,Mariah,0.2437
M,Gregory,0.2520
F,Sydney,0.2431
M,Derek,0.2493
F,Amy,0.2407
M,Nathaniel,0.2467
F,Caitlin,0.2389
M,Jesus,0.2412
F,Kathryn,0.2368
M,Scott,0.2410
F,Jenna,0.2356
M,Blake,0.2392
F,Angela,0.2264
M,Garrett,0.2335
F,Savannah,0.2250
M,Bradley,0.2294
F,Alicia,0.2104
M,Edward,0.2219
F,Catherine,0.2104
M,Dalton,0.2083
F,Breanna,0.2103
M,Shawn,0.2083
F,Destiny,0.2097
M,Peter,0.2070
F,Jamie,0.2043
M,Antonio,0.2048
F,Monica,0.2006
M,Ethan,0.2044
F,Brittney,0.1989
M,Seth,0.2028
F,Erika,0.1839
M,Luke,0.2009
F,Whitney,0.1829
M,Shane,0.2004
F,Madeline,0.1804
M,Victor,0.1989
F,Kaitlin,0.1796
M,Miguel,0.1979
F,Caroline,0.1769
M,Lucas,0.1968
F,Alexa,0.1765
M,Tanner,0.1924
F,Molly,0.1765
M,Adrian,0.1871
F,Sabrina,0.1736
M,Spencer,0.1870
F,Diana,0.1727
M,Erik,0.1838
F,Cheyenne,0.1696
M,Vincent,0.1768
F,Meghan,0.1656
M,Dillon,0.1733
F,Leah,0.1644
M,Cory,0.1731
F,Mackenzie,0.1639
M,Isaac,0.1715
F,Grace,0.1628
M,Angel,0.1706
F,Christine,0.1623
M,Alejandro,0.1702
F,Cynthia,0.1621
M,Jake,0.1701
F,Margaret,0.1592
M,Brett,0.1685
F,Lindsay,0.1590
M,Joel,0.1652
F,Angelica,0.1578
M,Alec,0.1629
F,Michaela,0.1562
M,George,0.1628
F,Veronica,0.1508
M,Cole,0.1620
F,Bianca,0.1504
M,Jorge,0.1616
F,Holly,0.1500
M,Eduardo,0.1607
F,Kristina,0.1475
M,Chase,0.1583
F,Kristin,0.1458
M,Raymond,0.1541
F,Gabriela,0.1455
M,Casey,0.1495
F,Bethany,0.1423
M,Devon,0.1488
F,Autumn,0.1394
M,Wesley,0.1488
F,Casey,0.1381
M,Ricardo,0.1459
F,Hailey,0.1378
M,Francisco,0.1419
F,Melanie,0.1374
M,Colton,0.1399
F,Brenda,0.1362
M,Oscar,0.1395
F,Brandi,0.1352
M,Troy,0.1394
F,Lisa,0.1315
M,Colin,0.1381
F,Rachael,0.1310
M,Mason,0.1374
F,Desiree,0.1306
M,Keith,0.1366
F,Kendra,0.1300
M,Jack,0.1363
F,April,0.1294
M,Dominic,0.1359
F,Karen,0.1276
M,Chad,0.1340
F,Julie,0.1260
M,Brendan,0.1339
F,Kathleen,0.1246
M,Phillip,0.1313
F,Leslie,0.1230
M,Donald,0.1301
F,Dominique,0.1226
M,Elijah,0.1286
F,Natasha,0.1221
M,Johnathan,0.1281
F,Kara,0.1219
M,Martin,0.1273
F,Patricia,0.1213
M,Derrick,0.1263
F,Hayley,0.1212
M,Ronald,0.1258
F,Bailey,0.1206
M,Cristian,0.1247
F,Carly,0.1192
M,Xavier,0.1240
F,Cassidy,0.1183
M,Julian,0.1228
F,Karina,0.1160
M,Frank,0.1216
F,Summer,0.1148
M,Mario,0.1210
F,Tori,0.1140
M,Manuel,0.1209
F,Ana,0.1134
M,Alan,0.1194
F,Nancy,0.1123
M,Henry,0.1187
F,Tara,0.1123
M,Omar,0.1187
F,Alejandra,0.1122
M,Edgar,0.1174
F,Ariel,0.1122
M,Andre,0.1168
F,Marisa,0.1122
M,Clayton,0.1163
F,Claire,0.1115
M,Bryce,0.1149
F,Caitlyn,0.1114
M,Grant,0.1118
F,Adriana,0.1112
M,Collin,0.1117
F,Rebekah,0.1108
M,Javier,0.1114
F,Alison,0.1088
M,Jonathon,0.1078
F,Kaylee,0.1081
M,Darius,0.1071
F,Chloe,0.1067
M,Douglas,0.1060
F,Raven,0.1065
M,Levi,0.1032
F,Jocelyn,0.1056
M,Jeremiah,0.1022
F,Kylie,0.1048
M,Noah,0.1020
F,Valerie,0.1031
M,Sergio,0.0983
F,Gabriella,0.1024
M,Hector,0.0968
F,Jade,0.0997
M,Roberto,0.0967
F,Audrey,0.0990
M,Andres,0.0964
F,Katrina,0.0988
M,Nicolas,0.0959
F,Krystal,0.0969
M,Johnny,0.0956
F,Deanna,0.0962
M,Jackson,0.0949
F,Ariana,0.0961
M,Gary,0.0931
F,Dana,0.0926
M,Philip,0.0930
F,Mikayla,0.0920
M,Isaiah,0.0918
F,Meagan,0.0917
M,Curtis,0.0917
F,Diamond,0.0916
M,Drew,0.0911
F,Sandra,0.0908
M,Ivan,0.0910
F,Kassandra,0.0904
M,Brady,0.0906
F,Jasmin,0.0902
M,Fernando,0.0898
F,Bridget,0.0871
M,Edwin,0.0884
F,Monique,0.0867
M,Hayden,0.0879
F,Angel,0.0859
M,Dennis,0.0877
F,Daisy,0.0856
M,Cesar,0.0871
F,Chelsey,0.0849
M,Allen,0.0857
F,Kendall,0.0845
M,Zachery,0.0848
F,Ashlee,0.0843
M,Ruben,0.0846
F,Felicia,0.0837
M,Maxwell,0.0844
F,Krista,0.0835
M,Jalen,0.0833
F,Joanna,0.0833
M,Marco,0.0828
F,Khadijah,0.0829
M,Erick,0.0823
F,Sophia,0.0828
M,Randy,0.0807
F,Yesenia,0.0824
M,Mathew,0.0802
F,Mallory,0.0823
M,Brent,0.0800
F,Lydia,0.0822
M,Pedro,0.0799
F,Mercedes,0.0806
M,Tony,0.0798
F,Jazmin,0.0792
M,Max,0.0797
F,Jillian,0.0791
M,Jerry,0.0792
F,Mckenzie,0.0791
M,Preston,0.0788
F,Kirsten,0.0789
M,Riley,0.0779
F,Gina,0.0782
M,Calvin,0.0768
F,Jazmine,0.0779
M,Larry,0.0765
F,Cindy,0.0774
M,Wyatt,0.0758
F,Priscilla,0.0773
M,Craig,0.0739
F,Claudia,0.0771
M,Raul,0.0712
F,Makayla,0.0771
M,Colby,0.0711
F,Alisha,0.0768
M,Darren,0.0709
F,Evelyn,0.0745
M,Rafael,0.0702
F,Aaliyah,0.0744
M,Jeffery,0.0695
F,Kiara,0.0741
M,Carl,0.0695
F,Anne,0.0735
M,Ricky,0.0693
F,Cierra,0.0726
M,Louis,0.0692
F,Ashleigh,0.0725
M,Tevin,0.0689
F,Colleen,0.0725
M,Jaime,0.0684
F,Ciara,0.0719
M,Albert,0.0679
F,Lacey,0.0717
M,Jimmy,0.0674
F,Allyson,0.0716
M,Trey,0.0671
F,Tabitha,0.0714
M,Kristopher,0.0670
F,Denise,0.0713
M,Marc,0.0665
F,Abby,0.0704
M,Skyler,0.0665
F,Brandy,0.0693
M,Damian,0.0662
F,Guadalupe,0.0684
M,Chance,0.0661
F,Zoe,0.0684
M,Forrest,0.0659
F,Ellen,0.0678
M,Harrison,0.0653
F,Marina,0.0671
M,Kaleb,0.0652
F,Faith,0.0670
M,Julio,0.0646
F,Cristina,0.0659
M,Alberto,0.0644
F,Linda,0.0658
M,Dallas,0.0640
F,Isabella,0.0655
M,Sebastian,0.0639
F,Nichole,0.0646
M,Trenton,0.0637
F,Karla,0.0646
M,Armando,0.0634
F,Jaclyn,0.0644
M,Conner,0.0634
F,Jessie,0.0644
M,Alexis,0.0632
F,Rosa,0.0643
M,Emmanuel,0.0631
F,Amelia,0.0643
M,Gage,0.0631
F,Mayra,0.0639
M,Gerardo,0.0631
F,Meredith,0.0631
M,Danny,0.0628
F,Carolyn,0.0631
M,Zackary,0.0625
F,Hope,0.0628
M,Micheal,0.0625
F,Maggie,0.0628
M,Shaquille,0.0624
F,Asia,0.0622
M,Russell,0.0623
F,Naomi,0.0617
M,Lawrence,0.0622
F,Hanna,0.0608
M,Diego,0.0617
F,Clarissa,0.0608
M,Parker,0.0613
F,Daniela,0.0603
M,Dominique,0.0607
F,Carmen,0.0598
M,Jamal,0.0604
F,Justine,0.0596
M,Abraham,0.0600
F,Tessa,0.0594
M,Terry,0.0598
F,Tatiana,0.0592
M,Joe,0.0590
F,Wendy,0.0581
M,Rodney,0.0580
F,Katlyn,0.0581
M,Jonah,0.0578
F,Isabel,0.0580
M,Micah,0.0574
F,Maya,0.0580
M,Kody,0.0571
F,Tamara,0.0580
M,Arthur,0.0569
F,Kasey,0.0578
M,Landon,0.0567
F,Kiana,0.0573
M,Walter,0.0565
F,Alexus,0.0569
M,Deandre,0.0563
F,Raquel,0.0566
M,Todd,0.0560
F,Aubrey,0.0565
M,Marcos,0.0559
F,Bria,0.0565
M,Andy,0.0558
F,Candace,0.0564
M,Bobby,0.0557
F,Teresa,0.0563
M,Billy,0.0552
F,Tiara,0.0561
M,Gavin,0.0550
F,Ashlyn,0.0560
M,Lance,0.0549
F,Kelsie,0.0559
M,Avery,0.0548
F,Celeste,0.0554
M,Nolan,0.0546
F,Alissa,0.0553
M,Donovan,0.0544
F,Britney,0.0547
M,Jay,0.0540
F,Katelynn,0.0547
M,Nickolas,0.0529
F,Kelli,0.0545
M,Roger,0.0525
F,Theresa,0.0545
M,Josue,0.0525
F,Nina,0.0542
M,Enrique,0.0524
F,Tyler,0.0541
M,Randall,0.0522
F,Renee,0.0539
M,Trent,0.0520
F,Carolina,0.0538
M,Ramon,0.0512
F,Jacquelyn,0.0537
M,Branden,0.0509
F,Genesis,0.0535
M,Jon,0.0506
F,Ruby,0.0529
M,Morgan,0.0502
F,Susan,0.0526
M,Arturo,0.0498
F,Cara,0.0526
M,Alfredo,0.0489
F,Miriam,0.0526
M,Terrance,0.0486
F,Heidi,0.0521
M,Jessie,0.0483
F,Carrie,0.0519
M,Malcolm,0.0480
F,Jordyn,0.0517
M,Marvin,0.0480
F,Janet,0.0517
M,Devonte,0.0479
F,Brenna,0.0514
M,Damien,0.0479
F,Ebony,0.0510
M,Gustavo,0.0475
F,Arianna,0.0503
M,Israel,0.0471
F,Jenny,0.0503
M,Marquis,0.0471
F,Gloria,0.0503
M,Gerald,0.0468
F,Toni,0.0498
M,Jamie,0.0468
F,Ashton,0.0498
M,Giovanni,0.0467
F,Cecilia,0.0497
M,Kendall,0.0466
F,Esther,0.0491
M,Johnathon,0.0465
F,Camille,0.0489
M,Miles,0.0465
F,Martha,0.0489
M,Eddie,0.0464
F,Tiana,0.0486
M,Willie,0.0461
F,Charlotte,0.0483
M,Theodore,0.0460
F,Candice,0.0480
M,Damon,0.0458
F,Aimee,0.0474
M,Maurice,0.0457
F,Elena,0.0474
M,Reginald,0.0456
F,Madeleine,0.0474
M,Lorenzo,0.0455
F,Virginia,0.0474
M,Josiah,0.0450
F,Tia,0.0473
M,Lee,0.0450
F,Savanna,0.0473
M,Frederick,0.0443
F,Vivian,0.0472
M,Salvador,0.0440
F,Marie,0.0471
M,Demetrius,0.0439
F,Selena,0.0470
M,Eli,0.0436
F,Angelina,0.0468
M,Dominick,0.0434
F,Imani,0.0464
M,Bryant,0.0429
F,Carissa,0.0464
M,Conor,0.0425
F,Cassie,0.0459
M,Roy,0.0422
F,Dakota,0.0459
M,Zackery,0.0422
F,Adrianna,0.0455
M,Malik,0.0419
F,Lillian,0.0452
M,Devante,0.0419
F,Ruth,0.0452
M,Quinton,0.0413
F,Alexia,0.0451
M,Ross,0.0411
F,Logan,0.0451
M,Tyrone,0.0409
F,Barbara,0.0447
M,Dean,0.0409
F,Darian,0.0446
M,Marshall,0.0409
F,Janelle,0.0445
M,Carson,0.0408
F,Mikaela,0.0442
M,Tommy,0.0408
F,Mia,0.0441
M,Ernesto,0.0401
F,Harley,0.0440
M,Ty,0.0399
F,Sharon,0.0440
M,Elias,0.0398
F,Sadie,0.0438
M,Zachariah,0.0397
F,Stacy,0.0436
M,Terrence,0.0393
F,Helen,0.0436
M,Harley,0.0387
F,Nikki,0.0432
M,Dante,0.0386
F,Kierra,0.0430
M,Shaun,0.0382
F,Anastasia,0.0427
M,Zane,0.0382
F,Tayler,0.0426
